"Payment ID","Order ID","Payment Date","Amount","Currency","Payment Status","Method","Customer Email"
"pay_90519o","order_57714","2025-07-04 14:29:58","3067.53","INR","Failed","Wallet","mailto:user1@email.com"
"pay_29420m","order_74993","2025-07-08 13:17:41","2229.61","INR","Failed","UPI","mailto:user2@email.com"
"pay_70706w","order_51923","2025-07-04 14:45:00","2773.65","INR","Refunded","Wallet","mailto:user3@email.com"
"pay_54015c","order_14917","2025-07-09 23:37:11","3460.31","INR","Refunded","Card","mailto:user4@email.com"
"pay_18523j","order_92800","2025-07-02 15:21:03","3076.72","INR","Failed","Netbanking","mailto:user5@email.com"
"pay_90156k","order_89198","2025-07-09 20:41:21","3381.77","INR","Captured","Card","mailto:user6@email.com"
"pay_12345a","order_12345","2025-07-01 10:05:32","4000.00","INR","Captured","UPI","mailto:user7@email.com"
"pay_67890b","order_67890","2025-07-03 13:12:45","2500.50","INR","Captured","Netbanking","mailto:user8@email.com"
"pay_24680c","order_24680","2025-07-05 16:40:20","1500.75","INR","Captured","Wallet","mailto:user9@email.com"
"pay_13579d","order_13579","2025-07-06 09:25:11","4800.20","INR","Captured","Card","mailto:user10@email.com"
"pay_11111e","order_11111","2025-07-07 18:10:05","3200.00","INR","Failed","UPI","mailto:user11@email.com"
"pay_22222f","order_22222","2025-07-08 11:45:18","2100.00","INR","Captured","Wallet","mailto:user12@email.com"
"pay_33333g","order_33333","2025-07-09 14:22:30","1700.00","INR","Refunded","Card","mailto:user13@email.com"
"pay_44444h","order_44444","2025-07-10 08:55:44","2600.00","INR","Captured","Netbanking","mailto:user14@email.com"
"pay_55555i","order_55555","2025-07-02 13:33:27","2900.00","INR","Captured","UPI","mailto:user15@email.com"
"pay_66666j","order_66666","2025-07-03 17:18:39","3850.00","INR","Failed","Wallet","mailto:user16@email.com"
"pay_77777k","order_77777","2025-07-04 21:45:55","4100.00","INR","Captured","Card","mailto:user17@email.com"
"pay_88888l","order_88888","2025-07-05 12:30:12","3700.00","INR","Captured","UPI","mailto:user18@email.com"
"pay_99999m","order_99999","2025-07-06 19:12:47","2950.00","INR","Refunded","Netbanking","mailto:user19@email.com"
"pay_00000n","order_00000","2025-07-07 22:05:33","2150.00","INR","Captured","Wallet","mailto:user20@email.com"
